state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
AK,1322807.123,2543044.773,2895773.485,1941882.949,2341883.616,1547089.002,3583521.946,6471967.853,2332289.67,1483102.772,2628569.239,4710642.319,1588168.965,3432436.071,1799577.792,3127841.428,2076450.992,1413525.102,489161.8178,2113978.427,3012812.447,1556055.978,2280539.682,2156785.703,4420203.327,2651796.593,2708917.655,2661112.58
AL,22367165.59,27584038.88,18184047.18,22240008.14,29568988.16,66232121.82,37015204.18,42997915.67,94252816.02,38814997.72,16115705.72,33296418.36,21867346.81,31106310.41,13092836.8,22013093.7,16226789.35,21758711.98,12154936.44,35003290.93,30848152.65,9162398.826,24514772.51,18223358.27,70677892.96,36398674.13,29704963.05,26209719.82
AR,13129904.27,16026660.69,10625518.51,13019127.84,17371109.82,38890548.84,21662021.62,25131613.76,17455868.53,18249104.34,12018148.7,13750740.71,9219301.441,7593963.441,14672961.58,3163020.804,6116297.581,7425693.876,7141274.796,9461817.247,6362072.593,2627864.648,7909212.789,14214645.6,31463192.66,31293900.93,20173296.75,21800348.35
AZ,8034696.776,14879909.16,17407522.3,12067340.77,15325026.86,10464875.12,24062835.53,41598838.75,23449188.1,22378011.84,40205785.51,25436495.85,25520267.46,42515119.63,24665965.05,18862731.35,11756086.11,20364217.39,4313352.417,12394707.33,31397029.71,3577249.033,22377065.29,43837030.22,41930769.94,36426754.08,34886777.99,62530431.73
CA,75738150.49,139122971.4,160440505.2,109556527.6,135231534.5,91119222.98,207959487.5,357277928.6,121099238.3,74615031.47,130521950,234569999.6,81798783.78,180267120.9,96097037.71,169365052.7,110936962,74341500.89,25521278.95,110225100.6,157786435.6,81751161.23,120677086.7,114579340,236494227.8,143526293.1,147388273.8,144469180.7
CO,9094380.729,16694737.03,19352290.63,13273597.01,16567410.85,11126092.8,25499623.25,44070461.22,24750062.5,23128463.05,40523853.87,24892038.02,24208853.1,39233122.3,22307312.38,16939090.17,10522398.14,18219297.47,3846192.736,10919464.49,27250178.61,3077185.662,19128242.09,37278208.75,35593336.69,30542207.26,29278208.63,52033683.69
CT,20466073.54,7419517.288,2886021.045,7217228.559,9071875.44,5178691.533,10339699.83,14943351.52,8543375.569,13351299.3,20097620.28,12305674.68,16629800.02,8392365.272,10690367.69,1311990.313,2666017.388,5627632.204,16630127.25,11243528.96,4223192.392,588247.2323,24933029.55,10876472.36,3235734.824,54218437.32,9486617.257,24747036.75
DC,4297771.159,5112605.5,3257521.991,3859967.361,4971309.499,10857566.79,6016214.861,6946831.162,3200662.836,5974092.503,6176333.359,8834482.41,2017980.765,4829905.008,5712547.737,3738795.754,1940396.456,1985707.649,963047.8968,1632476.826,2120395.281,1142579.643,1906723.624,3199131.397,3450143.722,4389904.914,5278408.058,5617426.956
DE,3566457.369,4358381.814,2846745.826,3452084.87,4550425.852,10109244.75,5629695.493,6563151.434,3064145.798,5768313.406,6017980.313,8686241.925,2018034.626,4961602.11,6024685.56,4142815.343,2225797.843,2345929.306,1168766.509,2046919.554,2762706.892,1543377.12,2650557.586,4565105.886,5009276.3,6034659.27,7310695.858,7901129.307
FL,51791951.28,64008680.62,42598963.53,52828269.73,72091077.41,165777679.9,96282921.01,114705264.6,54403626.29,104129156.1,110485224.6,161493614.3,38010905.94,94282521.9,115663651.8,80609273.35,43467966.34,45904339.93,22914311.76,40341659.88,54562188.94,30623670.17,52949379.52,91467220.01,100454650.5,123149300.8,150283968.7,163569760.7
