State,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815741.6868,160895.7339,1077364.222,338593.0396,1344852.402,690125.0402,1419926.607,489690.0692,1302143.529,799049.1648,1931405.952,290356.289,1156592.477,1213694.154,1325967.345,1309178.554,1011403.866,1552985.717,1875522.731,2334118.972,1271826.259,1444761.4,2170946.206,2365028.571,1478209.097,1322807.123,2543044.773,2895773.485,1941882.949,2297160.666,1577208.959,3583521.946,6349797.47,2332289.67,1483102.772,2628569.239,4710642.319,1588168.965,3432436.071,1799577.792,3127841.428,2076450.992,1413525.102,489161.8178,2113978.427,3012812.447,1556055.978,2280539.682,2156785.703,4420203.327,2651796.593,2708917.655,2661112.58,3039170.174,3443999.349,3481788.212,3628085.477,3783614.061,3751956.629,3525881.999,2646419.251,2273116.226,2446921.29,2455888.713,2708741.745,3088758.184,3397669.17,3680490.053,3868833.289,3982341.83,3958122.573,3949806.099,3911677.557,3862088.663,3821624.808,3812459.784,3770712.334,3734216.226,3711180.107,3694742.492,3696362.369
AL,16802765.48,479711.5109,2490277.806,43005.50125,1903220.128,2672425.354,1382189.077,1128791.851,10047415.66,4743780.914,76215.66649,1600785.165,6281494.012,479121.3094,3563471.392,3242235.935,2950325.138,19191922.03,1155197.906,4686940.683,17453490.5,758465.7112,4010364.043,9998668.433,3784243.813,6117921.997,13204077.16,15184980.17,1630281.152,11146108.35,11206568.6,5391035.675,6417641.128,1239952.149,8612804.131,8335456.541,2343208.66,11642054.62,12527698.54,17324606.43,21541298.02,5232058.633,4650177.466,1823918.965,11336944.07,7859188.43,4603426.745,8610644.163,17127262.9,30074914.76,18418506.3,10551522.22,10065439.72,9160236.585,23140796.49,37219203.09,16650102.21,8169725.98,22499455.36,18968807.72,18239224.79,21553475.74,21364016.82,23494421.5,33176625.43,27134379.74,14178753.19,20311470.65,13793519.45,32548420.5,22050152,22730584.51,32556001.26,27312784.72,17014514.83,22367165.59,27584038.88,18184047.18,22240008.14,29138810.72,67209909.3,37015204.18,42377221.05,94252816.02,38814997.72,16115705.72,33296418.36,21867346.81,31106310.41,13092836.8,22013093.7,16226789.35,21758711.98,12154936.44,35003290.93,30848152.65,9162398.826,24514772.51,18223358.27,70677892.96,36398674.13,29704963.05,26209719.82,27903872.37,29572304.61,30119542.22,31970180.68,32631853.4,33673587.59,33484150.12,26476311.38,21939823.9,22957334.13,19329066.76,20369500.53,22294233.98,23794448.75,25270096.78,26033410.45,26435313.43,26104824.11,25857719.45,25537848.66,25258862.23,25132190.69,25258391.06,25237176.61,25311840.56,25438304.6,25577546.84,25722272.28
AR,12064936.52,337332.5307,1750272.773,30413.70145,1365353.57,1921967.936,990174.5711,813958.7496,7343835.701,3476822.35,56116.00002,1179525.911,4635328.915,349827.9328,2574974.191,2353213.459,2149897.801,14119597.02,862330.8314,3493645.987,12992085.34,558586.9455,2919624.111,7239295.651,2723566.119,4374772.951,9392537.943,10709223.27,1140579.276,7807334.596,7870423.509,3760903.71,4441307.618,863912.5459,6024151.27,5794046.658,1616241.627,8021299.758,8666452.378,11993011.14,14802543.98,3549939.162,3125943.846,1158333.099,7153360.854,4990230.636,2841758.111,5373603.903,10527872.95,18486047.61,11491991.5,6557189.849,6030077.644,5340720.97,13313251.86,21050205.02,9238610.929,4553919.307,12277603.52,10396138.06,9970999.533,11777387.94,11635529.06,13101162.51,18524768.52,15161684.35,7799755.604,11134954.61,7582845.714,17964914.62,12312771.12,12819797.05,18567774.56,15711584.46,9859192.713,13129904.27,16026660.69,10625518.51,13019127.84,17118390.33,39464691.58,21662021.62,24768827.4,17455868.53,18249104.34,12018148.7,13750740.71,9219301.441,7593963.441,14672961.58,3163020.804,6116297.581,7425693.876,7141274.796,9461817.247,6362072.593,2627864.648,7909212.789,14214645.6,31463192.66,31293900.93,20173296.75,21800348.35,23323286.14,24855881.23,23801496.67,24845884.21,25484123.36,29009098.01,28542530.36,24150546.38,18754233.64,19849981.31,15191576.82,16233037.54,18194618.53,19773917.35,21188787.08,22015989.31,22426290.47,22117971.23,21886221.18,21526517.02,21132415.08,20827443.1,20665272.77,20366221.96,20127217,19971015.75,19859805.98,19835878.91
AZ,2092897.448,1304850.244,1294540.284,509537.446,1664724.092,1116517.878,747196.2516,594974.2997,1232312.227,2998744.401,984501.157,168076.1152,1015231.95,127877.8761,1887556.044,415616.2785,194299.0689,817666.7218,2907158.436,2930148.444,5015609.912,266754.3417,4684071.573,1333615.879,289445.883,2983126.36,7495666.167,1958117.184,1061697.32,4269206.677,1185267.929,451774.5207,3495496.852,1977567.726,109612.9931,1310893.629,2510624.243,2138608.278,2495529.583,2550435.984,2923837.295,4766719.361,792817.9119,2784500.444,3963836.058,1934520.436,352041.3526,2831119.413,1913156.641,4605542.901,4568153.446,799387.0323,4799686.111,1476595.987,5836033.911,3068258.625,6674922.847,2384854.233,6935076.921,4498218.736,11126949.33,1674937.37,6837502.587,7257496.343,7878110.67,7745558.287,5911674.255,9249147.405,11104713.73,13775396.88,7462412.19,8681179.324,13437212.53,15200311.51,9635605.594,8034696.776,14879909.16,17407522.3,12067340.77,15032364.84,10668613.62,24062835.53,40813583.6,23449188.1,22378011.84,40205785.51,25436495.85,25520267.46,42515119.63,24665965.05,18862731.35,11756086.11,20364217.39,4313352.417,12394707.33,31397029.71,3577249.033,22377065.29,43837030.22,41930769.94,36426754.08,34886777.99,62530431.73,54099898.5,45633756.57,47050995.12,55618411.58,60067586.51,60157957.18,62712709.48,37497340.61,29681116.22,31430665.25,30926127.14,33871492,38663414.99,42736777.67,46488314.23,48930124.39,50473742.4,50453367.72,50743352.18,50755547.66,50588678.9,50585597.06,50854941.5,50639630.71,50497787.13,50598431.13,50861760.75,51473848.1
CA,25148525.78,15439067.77,15224919.43,6022449.535,19756195.85,13377014.83,8841076.605,6943620.52,14317347.98,34913952.67,11498591.18,2008985.264,12482206.65,1523155.55,21889681.56,4753512.418,2115930.641,8337045.579,29634846.31,29737889.53,52427875.38,2884138.822,51928137.91,15349163.89,3440768.992,35903785.45,91677763.12,24344031.75,13444811.56,54913911.93,15596924.29,6133181.372,48362578.51,27681305.98,1551997.052,18651539.54,35936497.35,30818619.95,35644302.37,35753529.23,40722783.97,70401526.56,11703142.27,34226821.93,58125432.03,30431244.04,5462927.418,42627206.84,27904360.05,66677166.63,64516103.63,11338057.6,66323453.56,20234650.38,79727854.48,40826180.87,86926132,30237831.81,86499534.43,55173631.39,134318174.1,20122071.21,80169353.36,84228400.8,91512465.04,90353231.67,69361405.33,108067175.8,129370589.6,158834748.6,83943017.18,93166705.69,137734681.9,149315332.5,91770141.75,75738150.49,139122971.4,160440505.2,109556527.6,132649018,92893204.41,207959487.5,350533645.8,121099238.3,74615031.47,130521950,234569999.6,81798783.78,180267120.9,96097037.71,169365052.7,110936962,74341500.89,25521278.95,110225100.6,157786435.6,81751161.23,120677086.7,114579340,236494227.8,143526293.1,147388273.8,144469180.7,165234478.8,185835610.9,187039594.8,193525267,201612797.9,199777272.5,186467111.6,138437184.6,118549831,134192681.6,134637134.5,148439838.7,169178863.2,185967865,201286693.7,211376025.1,217325771,215721761.4,214946289.9,212507328.6,209425247.3,206778646.1,205768808.8,203072282.6,200720498.4,199151763.6,197997521.9,197858915.3
CO,9164865.436,5787160.242,5825431.279,2307072.325,7265252.827,4805266.818,3163279.939,2477932.737,5015378.259,11857280.16,3842421.991,650898.5406,3892502.224,452449.2651,6311748.669,1371691.748,614591.3812,2392529.636,8230892.322,8354040.245,13822430.85,730344.5081,12555914.08,3537137.532,768319.7,7734874.708,18897262.6,4862184.697,2551092.613,10007814.72,2840273.378,1112060.359,8746947.522,4971772.381,275313.0084,3256090.628,6177382.449,5211972.492,5954997.631,5901835.334,6621114.517,10934270.53,1683981.557,4639492.792,7388330.489,3634553.547,687509.3298,5363085.32,3501908.461,8353190.556,8006353.592,1350302.172,7780963.825,2363544.584,9338905.283,4806005.911,10300806.86,3527464.395,9690505.638,6099884.249,14989761.24,2242970.634,8961161.883,9369126.822,10027628.05,9806394.49,7408253.407,11501263.22,13850532.98,17362569.2,9287442.499,10548136.54,16088991.37,17857885.75,11014766.97,9094380.729,16694737.03,19352290.63,13273597.01,16251023.02,11342704.42,25499623.25,43238549.62,24750062.5,23128463.05,40523853.87,24892038.02,24208853.1,39233122.3,22307312.38,16939090.17,10522398.14,18219297.47,3846192.736,10919464.49,27250178.61,3077185.662,19128242.09,37278208.75,35593336.69,30542207.26,29278208.63,52033683.69,44462387.88,36935617.05,37323525.56,43545577.93,46785292.02,46837454.27,49158481.81,29518942.71,23428013.83,22180579.07,21488624.15,23173916.15,26047290.74,28352085.93,30371913.61,31483591.25,31987407.69,31495093.2,31202918.82,30746905.41,30192515.13,29746346.35,29466582.72,28921148.9,28435048.07,28100565.99,27867692.06,27832697.42
CT,13866248.93,1236941.869,904165.316,4059497.735,6231225.039,8254595.869,6210532.051,1289396.976,1623592.074,1955270.942,10302285.77,9429982.12,1340171.27,1938594.746,458677.2827,1795935.232,4161904.76,6532887.901,3551742.436,4874821.863,16317882.94,5023609.129,1674148.585,3386734.459,15575107.35,9941717.251,8122670.963,6977013.618,6356760.483,24937965.56,10356469.32,4754455.606,2901221.261,3181466.493,10710.35475,1641241.182,2291349.169,4639919.334,10001058.46,2377001.585,2049932.161,2202100.826,1976499.658,2015881.191,1713407.624,4563844.177,4466029.29,1386440.89,2224184.216,3031767.539,11455485.73,4453585.6,10157928.39,4508881.301,10745355.52,4368895.598,16723990.95,17543311.65,10644475.93,9555897.394,13767231.93,11580427.48,11378921.98,13060528.95,13699635.82,17841845.83,19739729.34,14959065.56,12405755.6,19642956.09,18247860.73,9944526.21,18167783.46,10924711.43,11488505.26,20466073.54,7419517.288,2886021.045,7217228.559,9076445.785,5176083.86,10339699.83,14882115.67,8543375.569,13351299.3,20097620.28,12305674.68,16629800.02,8392365.272,10690367.69,1311990.313,2666017.388,5627632.204,16630127.25,11243528.96,4223192.392,588247.2323,24933029.55,10876472.36,3235734.824,54218437.32,9486617.257,24747036.75,23296886.55,21805364.22,22523061.51,25601298.56,22064697.45,23547005.14,18875117.22,15535495.71,14633548.43,16286029.1,14994819.52,15194948.8,16395788.12,17035470.91,17953490.11,18433338.94,18840616.9,18535594.76,18464834.73,18317132.86,18119554.23,17926297.71,17852109.38,17670070.71,17551367.69,17520382.97,17555207.84,17618899.11
DC,2552551.258,71692.59601,373219.9296,6482.689254,290582.6485,409098.911,211552.6558,173871.2423,1558077.502,735871.1381,11840.01517,252022.9275,963332.4151,75263.4615,561368.7809,499124.5938,450240.3772,3129559.5,206091.6453,892464.101,3255420.018,140830.8523,741439.5314,1838229.221,689970.0834,1113007.909,2412431.706,2770429.498,295797.2242,2036146.118,2066039.092,1025701.012,1240953.599,246499.3187,1822001.023,1863904.957,537323.4586,2596490.095,2867840.569,4051027.375,5224427.287,1377426.877,1345563.082,565653.7106,3564542.371,2480954.618,1421669.75,2598997.966,4845705.908,8090152.07,4854583.413,2787064.386,2641029.654,2430328.082,6073115.469,9579368.663,4115085.502,2004985.823,5384789.031,4505387.851,4265309.991,5036166.446,5012426.141,5571352.434,7884141.48,6377977.917,3282156.925,4638098.524,3155197.769,7348424.592,4844056.219,4873488.704,6827258.556,5581062.041,3368405.694,4297771.159,5112605.5,3257521.991,3859967.361,4898985.577,11017857.48,6016214.861,6846550.472,3200662.836,5974092.503,6176333.359,8834482.41,2017980.765,4829905.008,5712547.737,3738795.754,1940396.456,1985707.649,963047.8968,1632476.826,2120395.281,1142579.643,1906723.624,3199131.397,3450143.722,4389904.914,5278408.058,5617426.956,5417760.201,5241149.804,5034495.765,5371244.693,5734478.259,5594769.205,5345872.374,4154578.246,3434162.662,2932317.834,2617131.242,2770877.774,3071138.603,3289975.544,3471224.03,3543920.527,3544371.664,3429461.344,3330661.308,3216016.727,3100825.149,3002772.444,2930652.058,2838532.613,2757587.731,2690636.374,2631865.155,2586651.864
DE,1698640.226,47040.4051,241949.4716,4175.291384,184741.2865,257679.1842,132473.8675,108052.4755,965910.9745,452324.461,7196.176882,151653.3314,592166.1022,44779.65726,329499.0671,300027.8029,273896.2294,1804577.166,108469.287,443223.7446,1620311.327,68205.07644,352595.6883,872448.7472,331367.2111,535982.1165,1157349.966,1332832.679,143884.6623,994887.13,1011851.113,492499.2953,592658.1516,115561.1173,801937.07,772539.5543,216125.3339,1070630.656,1155227.314,1619179.635,2036769.479,495801.559,441142.303,177238.1627,1153115.296,809992.0328,472835.6567,892673.8511,1799833.623,3167891.021,1933401.086,1141730.584,1118746.723,1053142.169,2825419.08,4746973.771,2212061.772,1119428.52,3080070.872,2610875.22,2489958.45,2955867.627,2970087.983,3315944.533,4771980.37,3972249.405,2087896.563,3025611.68,2094157.812,5043777.291,3508865.962,3670535.876,5269750.904,4408149.995,2727849.969,3566457.369,4358381.814,2846745.826,3452084.87,4484225.057,10258487.94,5629695.493,6468409.336,3064145.798,5768313.406,6017980.313,8686241.925,2018034.626,4961602.11,6024685.56,4142815.343,2225797.843,2345929.306,1168766.509,2046919.554,2762706.892,1543377.12,2650557.586,4565105.886,5009276.3,6034659.27,7310695.858,7901129.307,7795476.705,7669453.638,7502440.501,8087423.069,8702978.544,8522516.763,8049391.066,6184369.527,5040888.851,5080975.315,4619947.597,4982591.435,5625211.457,6137359.397,6595455.083,6856292.316,6980537.287,6874116.684,6792611.41,6670874.583,6539123.825,6434800.505,6379539.385,6273531.143,6185164.481,6120652.45,6068730.852,6043629.655
FL,4866374.701,136844.8148,727135.38,12899.45285,576354.326,816869.5787,424457.0858,353775.8716,3320015.611,1629268.208,26799.55529,566318.9622,2269497.837,174073.0339,1328674.479,1274772.508,1155616.968,7275209.748,426481.5147,1800972.501,7117531.948,314816.9501,1720139.713,4451517.561,1755187.054,3051717.997,7036687.791,8253086.195,884921.5497,6091575.86,6227753.083,3038435.735,3679318.566,723188.9273,5084281.024,4944866.274,1410367.298,7203573.982,7960729.856,11303474.56,14499678.63,3636479.071,3401064.852,1540463.605,9791364.97,6981225.038,3858591.981,7398949.165,14871702.18,26746624.19,16924788.32,10279024.59,10357429.34,9931340.68,26910581.19,45724706.22,21941700.96,11488595.04,32934707.02,28465052.28,27646354.81,32942453.46,33779113.44,38589392.88,55603945.18,46204373.86,24519400.67,35791344.36,24898539.16,60761459.39,43477470.43,46528137.8,69091710.15,60379429.8,38935460.66,51791951.28,64008680.62,42598963.53,52828269.73,71042277.4,168225062.5,96282921.01,113049441.5,54403626.29,104129156.1,110485224.6,161493614.3,38010905.94,94282521.9,115663651.8,80609273.35,43467966.34,45904339.93,22914311.76,40341659.88,54562188.94,30623670.17,52949379.52,91467220.01,100454650.5,123149300.8,150283968.7,163569760.7,162047020,160767322.7,158384699.2,170987554.6,183372662.1,178644543.7,168372070,129515565.8,105901493.2,112646541.2,103436271.4,112704053.6,128615189,141907038.3,154288354.3,162352800.2,167414656.3,167044934.2,167337370.4,166684867.7,165813819.4,165677062,166862367.6,166708183.5,166990552,167902635.5,169165850.7,171199125.7
